"number","round.trip","total.return","EAR","win.trade","win.rate","max.drawdown","drawdown.rate"
0,35,1.27558952768916,1.06274173539184,21,0.6,4.805157,0.176852602055339
1,36,1.48546618476361,1.10399140558758,26,0.722222222222222,7.4116400751963,0.145540927658956
2,30,1.0670059647608,1.01634630314259,21,0.7,6.5480001776532,0.195789328253259
3,42,1.32232235203338,1.07234451514411,29,0.69047619047619,6.3997598087203,0.243651104909046
4,36,0.93395035592112,0.98306208850007,24,0.666666666666667,8.4929693966884,0.391852461348611
5,34,1.32187662006852,1.07225413652762,22,0.647058823529412,6.8718545970727,0.127673537837636
6,38,1.03270059116958,1.00807676856147,21,0.552631578947368,6.3272283922517,0.178790778450122
7,37,1.16950387748873,1.03992116317091,24,0.648648648648649,6.0748922794186,0.166670854104456
8,39,1.77088848075464,1.1535802265935,29,0.743589743589744,4.8030157439052,0.145171701363249
9,42,1.64380789716399,1.13230328072553,30,0.714285714285714,5.8013853385255,0.121740423185073
10,41,1.9054164337273,1.1748907285204,34,0.829268292682927,7.26482703294289,0.0833585210737818
11,43,1.80320919820856,1.15880811675191,33,0.767441860465116,8.1466954987103,0.180233368700448
12,46,3.26354649370401,1.34407174368217,42,0.91304347826087,9.99206114073739,0.122312099729626
13,37,1.33635508500557,1.07517824323724,26,0.702702702702703,5.6706591363968,0.128085932068606
14,38,1.9745933761298,1.18541227196606,29,0.763157894736842,7.01284868620609,0.102142894590938
15,32,1.2005755604696,1.04676061720316,22,0.6875,7.7186936325818,0.201964617784927
16,44,1.19004788536063,1.04445830910661,31,0.704545454545455,8.5759391922301,0.329547425397702
17,37,0.998159996738649,0.999539681442428,27,0.72972972972973,13.5960443792222,0.345258883804911
18,38,1.78077561568803,1.15518701906805,31,0.815789473684211,8.5804567020863,0.15896413547897
19,41,1.47864824257478,1.10272245386818,30,0.731707317073171,7.2263737291234,0.274483897636193
20,39,2.3421793012192,1.2371006487713,35,0.897435897435897,5.5000215919331,0.0806963847265185
21,37,1.329686291787,1.07383436417654,27,0.72972972972973,7.4105054018206,0.171340102091294
22,36,1.35414078855711,1.07873794372937,28,0.777777777777778,5.8386989267234,0.197065222370607
23,29,1.01004461089319,1.0025017489341,18,0.620689655172414,10.1412750701949,0.149933604401349
24,33,0.961011152054317,0.990106945073526,25,0.757575757575758,21.9749099507978,0.398258615562199
25,38,1.52414774433761,1.11110925973424,26,0.684210526315789,10.549351501981,0.190287226299449
26,40,1.47037220721178,1.10117621262456,31,0.775,8.5290562598128,0.206699987442604
27,34,1.38389852741505,1.08461613746765,23,0.676470588235294,10.186153628112,0.160038063033819
28,39,1.25829545256757,1.05912118914641,29,0.743589743589744,14.1408019399742,0.282057419454849
29,43,1.55313210239161,1.1163544274003,32,0.744186046511628,8.5668091212612,0.21667070099138
30,41,1.32326195064285,1.07253495755862,28,0.682926829268293,7.7759407469749,0.222939458739092
31,38,1.98525003363534,1.18700842928065,31,0.815789473684211,6.4227978556727,0.119922403446997
32,41,1.9792703406757,1.1861135826324,35,0.853658536585366,4.9936675959137,0.155499425557095
33,43,2.78562583904214,1.29190534653483,34,0.790697674418605,7.07219592351979,0.109450619665056
34,37,1.52859698310718,1.11191925140454,25,0.675675675675676,5.7817581237633,0.224078751936817
35,37,1.30768080094019,1.06936369800048,28,0.756756756756757,8.595209882255,0.306687527212499
36,29,0.827338169161825,0.953719725763505,18,0.620689655172414,14.986947588159,0.415382675643114
37,38,1.32491068074347,1.072868885215,26,0.684210526315789,5.8357099078203,0.20749674502858
38,41,1.50293528304602,1.10722292697235,29,0.707317073170732,11.50476700815,0.210803726490751
39,35,1.14462943998656,1.03434692565739,24,0.685714285714286,12.1230659040027,0.213473819310097
40,37,1.38921580492698,1.08565647999046,26,0.702702702702703,5.3534472324211,0.133571676445158
41,37,1.22932012997809,1.05297060699582,25,0.675675675675676,10.4904531650952,0.301745998004798
42,35,1.65968981470426,1.13502841013277,28,0.8,10.2110949733649,0.181536034693959
43,45,1.40656954691711,1.08903115094123,33,0.733333333333333,5.8732805683386,0.19181189494277
44,40,1.54857126177886,1.11553396740486,31,0.775,8.917848037864,0.193923242347987
45,39,1.5007121444349,1.10681324921629,28,0.717948717948718,8.5237342176062,0.196451211249463
46,37,1.86463511520578,1.16855313444655,30,0.810810810810811,9.71504164098059,0.138328159840412
47,45,1.10243202230959,1.02467928112764,33,0.733333333333333,7.2606858330234,0.333424505377508
48,38,1.32861147639447,1.07361729723939,25,0.657894736842105,9.2807290304582,0.214801365949122
49,38,1.19471803338389,1.04548150596596,24,0.631578947368421,5.3117883296759,0.150306242879425
50,39,1.31367722406294,1.07058749819255,26,0.666666666666667,4.8931621615012,0.129752341720126
51,43,1.55931137859983,1.11746315378518,31,0.720930232558139,5.5587831512601,0.176198725561101
52,29,0.847570063148237,0.959497620772632,16,0.551724137931034,12.2189381447181,0.310015945099613
53,39,1.74423402520847,1.14921474225011,29,0.743589743589744,9.984820750289,0.240010199035862
54,47,1.99544041331735,1.18852874816032,38,0.808510638297872,8.5900353877209,0.207949589485676
55,41,1.8648679197963,1.1685896069708,32,0.780487804878049,8.5891251020844,0.143379729165546
56,43,2.16995196394013,1.21370329227298,35,0.813953488372093,5.2122790228564,0.136090080750668
57,36,1.08376354598526,1.02031350412131,24,0.666666666666667,4.955806654243,0.178435047391842
58,37,1.92264063104878,1.17753690995741,29,0.783783783783784,6.3877172300169,0.0925922738568
59,37,1.38522964913723,1.08487685666111,29,0.783783783783784,8.4456769638977,0.216493513075294
